Table 1
Dates,Camp # '25,Arena Name,Camp Cost 25,City / Town / State,Camp Description,Times,Ages,
7/14/2025 - 7/17/2025,62-25,Boss Ice Arena (M-TH),$425.00 ,Kingston RI,Skating/Edge/Stickhandling 1/2 day,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/14/2025 - 7/17/2025,63-25,Tri-Town Arena (M-TH),$625.00 ,Hookset NH,Total Skills Development,9:00am - 3:00pm,8 - 15 yrs,
7/14/2025 - 7/17/2025,64-25,Tri-Town Arena (M-TH),$475.00 ,Hookset NH,Total Skills Development,9:00am - 11:50am,7 - 15 yrs,
7/14/2025 - 7/18/2024,65-25,Hyannis Community Center,$695.00 ,"Hyannis, MA",Total Skills Development Full day,9:00am - 2:50pm,10 - 15 yrs,Sold Out
7/14/2025 - 7/18/2025,66-25,Hyannis Community Center,$550.00 ,"Hyannis, MA",Total Skills Development 1/2 day,9:00am - 11.50am,7 - 15 yrs,
7/14/2025 - 7/18/2025,67-25,Hyannis Community Center,$350.00 ,"Hyannis, MA",Total Skills Development,1:00pm - 2:50pm,7 - 15 yrs,
7/14/2025 - 7/18/2025,68-25,South Windsor Ice Arena,$650.00 ,"South Windsor, CT",Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,
7/14/2025 - 7/18/2025,69-25,South Windsor Ice Arena,$525.00 ,"South Windsor, CT",Skating/Edge/Stickhandling,9:00am - 11:50am,7 - 15 yrs,
,,,,,,,,
,,,,,,,,
7/21/2025 - 7/25/2025,70-25,Valley Sports Ice Arena Rink 1 ,$650.00 ,"Concord, MA",Defenseman / Shooting,8:45am - 3:10pm,9 - 15 yrs,
7/21/2025 - 7/25/2025,71-25,Valley Sports Ice Arena Rink 2 ,$650.00 ,"Concord, MA",Skating/Edge/Stickhandling,9:00am - 3:30pm,6 - 9 yrs,
7/21/2025 - 7/25/2025,72-25,Valley Sports Ice Arena Rink 2,$475.00 ,"Concord, MA",Skating/Edge/Stickhandling 1/2 day am,9:00am - 11:50am,6 - 9 yrs,
7/21/2025 - 7/24/2025,73-25,The Bog Arena (M-TH),$580.00 ,Kingston MA,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/21/2025 - 7/24/2025,74-25,The Bog Arena (M-TH),$435.00 ,Kingston MA,Skating/Edge/Stickhandling,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/21/2025 - 7/24/2025,75-25,Chilled Ponds Arena,$695.00 ,Chesapeake VA,Total Skills Development ,9:00am - 3:00pm,7 - 15 yrs,
7/21/2025 - 7/24/2025,76-25,Chilled Ponds Arena,$550.00 ,Chesapeake VA,Total Skills Development ,9:00am - 11:50pm,7 - 15 yrs,
7/21/2025 - 7/25/2025,77-25,Raymond Bourque Arena,$650.00 ,Beverly MA,Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/21/2025 - 7/25/2025,78-25,Raymond Bourque Arena,$475.00 ,Beverly MA,Total Skills Development,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/21/2025 - 7/25/2025,79-25,McDonald Memorial Center,$695.00 ,"Eagle River, AK",Total Skills Development ,9:00am - 3:50pm,7 - 17 yrs,
